timestamp,mensaje,metodo,ruido,precision,recuperado,exito
2025-08-05T11:02:05.877214,Mensaje 2: con acentos áéíóú,RSA,0.3,100.0,True,True
2025-08-05T11:02:05.891859,Mensaje 2: con acentos áéíóú,RSA,0.4,100.0,True,True
2025-08-05T11:02:05.906581,Mensaje 2: con acentos áéíóú,RSA,0.5,0.0,False,False
2025-08-05T11:02:05.921166,Mensaje 2: con acentos áéíóú,RSA,0.6,0.0,False,False
2025-08-05T11:02:05.936162,"Mensaje 3: más largo, con puntuación... ¿qué pasa si lo alargamos mucho más aún?",RSA,0.0,100.0,True,True
2025-08-05T11:02:05.951171,"Mensaje 3: más largo, con puntuación... ¿qué pasa si lo alargamos mucho más aún?",RSA,0.1,100.0,True,True
2025-08-05T11:02:05.966690,"Mensaje 3: más largo, con puntuación... ¿qué pasa si lo alargamos mucho más aún?",RSA,0.2,100.0,True,True
2025-08-05T11:02:05.982139,"Mensaje 3: más largo, con puntuación... ¿qué pasa si lo alargamos mucho más aún?",RSA,0.3,100.0,True,True
2025-08-05T11:02:05.997315,"Mensaje 3: más largo, con puntuación... ¿qué pasa si lo alargamos mucho más aún?",RSA,0.4,100.0,True,True
2025-08-05T11:02:06.012140,"Mensaje 3: más largo, con puntuación... ¿qué pasa si lo alargamos mucho más aún?",RSA,0.5,0.0,False,False
2025-08-05T11:02:06.026958,"Mensaje 3: más largo, con puntuación... ¿qué pasa si lo alargamos mucho más aún?",RSA,0.6,0.0,False,False
2025-08-05T11:02:06.041740,Mensaje 4: números 1234567890,RSA,0.0,100.0,True,True
2025-08-05T11:02:06.056359,Mensaje 4: números 1234567890,RSA,0.1,100.0,True,True
2025-08-05T11:02:06.071258,Mensaje 4: números 1234567890,RSA,0.2,100.0,True,True
2025-08-05T11:02:06.085918,Mensaje 4: números 1234567890,RSA,0.3,100.0,True,True
2025-08-05T11:02:06.100592,Mensaje 4: números 1234567890,RSA,0.4,100.0,True,True
2025-08-05T11:02:06.114972,Mensaje 4: números 1234567890,RSA,0.5,0.0,False,False
2025-08-05T11:02:06.129547,Mensaje 4: números 1234567890,RSA,0.6,0.0,False,False
2025-08-05T11:02:06.144509,Mensaje 5: símbolos $%&/()=?¡¿,RSA,0.0,100.0,True,True
2025-08-05T11:02:06.159182,Mensaje 5: símbolos $%&/()=?¡¿,RSA,0.1,100.0,True,True
2025-08-05T11:02:06.174219,Mensaje 5: símbolos $%&/()=?¡¿,RSA,0.2,100.0,True,True
2025-08-05T11:02:06.189104,Mensaje 5: símbolos $%&/()=?¡¿,RSA,0.3,100.0,True,True
2025-08-05T11:02:06.203696,Mensaje 5: símbolos $%&/()=?¡¿,RSA,0.4,100.0,True,True
2025-08-05T11:02:06.218353,Mensaje 5: símbolos $%&/()=?¡¿,RSA,0.5,100.0,True,True
2025-08-05T11:02:06.232632,Mensaje 5: símbolos $%&/()=?¡¿,RSA,0.6,0.0,False,False
2025-08-05T11:02:06.247199,Mensaje 6: prueba final con mezcla ÁÑç<>~#@!,RSA,0.0,100.0,True,True
2025-08-05T11:02:06.262270,Mensaje 6: prueba final con mezcla ÁÑç<>~#@!,RSA,0.1,100.0,True,True
2025-08-05T11:02:06.276932,Mensaje 6: prueba final con mezcla ÁÑç<>~#@!,RSA,0.2,100.0,True,True
2025-08-05T11:02:06.291622,Mensaje 6: prueba final con mezcla ÁÑç<>~#@!,RSA,0.3,100.0,True,True
2025-08-05T11:02:06.306480,Mensaje 6: prueba final con mezcla ÁÑç<>~#@!,RSA,0.4,100.0,True,True
2025-08-05T11:02:06.321359,Mensaje 6: prueba final con mezcla ÁÑç<>~#@!,RSA,0.5,100.0,True,True
2025-08-05T11:02:06.335702,Mensaje 6: prueba final con mezcla ÁÑç<>~#@!,RSA,0.6,0.0,False,False
