timestamp,pattern_id,version,annealing_start,annealing_steps,noise_level,bit_diff,precision,exact_match,repetitions,chunk_size
2025-08-04T17:39:34.012660,key_3,1.3-A,0.3,10,0.3,0,100.00,True,1,8
2025-08-04T17:39:34.027611,key_3,1.3-A,0.3,10,0.35,0,100.00,True,1,8
2025-08-04T17:39:34.042383,key_3,1.3-A,0.3,10,0.4,0,100.00,True,1,8
2025-08-04T17:39:34.057081,key_3,1.3-A,0.3,10,0.45,0,100.00,True,1,8
2025-08-04T17:39:34.072271,key_3,1.3-A,0.3,10,0.5,68,46.88,False,1,8
2025-08-04T17:39:34.087280,key_3,1.3-A,0.3,10,0.55,68,46.88,False,1,8
2025-08-04T17:39:34.098507,key_1,1.3-A,0.3,10,0.25,0,100.00,True,1,16
2025-08-04T17:39:34.107471,key_1,1.3-A,0.3,10,0.3,0,100.00,True,1,16
2025-08-04T17:39:34.116709,key_1,1.3-A,0.3,10,0.35,0,100.00,True,1,16
2025-08-04T17:39:34.125748,key_1,1.3-A,0.3,10,0.4,0,100.00,True,1,16
2025-08-04T17:39:34.135004,key_1,1.3-A,0.3,10,0.45,36,71.88,False,1,16
2025-08-04T17:39:34.144199,key_1,1.3-A,0.3,10,0.5,59,53.91,False,1,16
2025-08-04T17:39:34.153428,key_1,1.3-A,0.3,10,0.55,128,0.00,False,1,16
2025-08-04T17:39:34.162659,key_2,1.3-A,0.3,10,0.25,0,100.00,True,1,16
2025-08-04T17:39:34.171601,key_2,1.3-A,0.3,10,0.3,0,100.00,True,1,16
2025-08-04T17:39:34.181089,key_2,1.3-A,0.3,10,0.35,0,100.00,True,1,16
2025-08-04T17:39:34.189919,key_2,1.3-A,0.3,10,0.4,0,100.00,True,1,16
2025-08-04T17:39:34.199086,key_2,1.3-A,0.3,10,0.45,0,100.00,True,1,16
2025-08-04T17:39:34.207946,key_2,1.3-A,0.3,10,0.5,60,53.12,False,1,16
2025-08-04T17:39:34.217504,key_2,1.3-A,0.3,10,0.55,67,47.66,False,1,16
2025-08-04T17:39:34.226610,key_3,1.3-A,0.3,10,0.25,0,100.00,True,1,16
2025-08-04T17:39:34.236043,key_3,1.3-A,0.3,10,0.3,0,100.00,True,1,16
2025-08-04T17:39:34.245250,key_3,1.3-A,0.3,10,0.35,0,100.00,True,1,16
2025-08-04T17:39:34.254104,key_3,1.3-A,0.3,10,0.4,0,100.00,True,1,16
2025-08-04T17:39:34.263142,key_3,1.3-A,0.3,10,0.45,60,53.12,False,1,16
2025-08-04T17:39:34.272065,key_3,1.3-A,0.3,10,0.5,59,53.91,False,1,16
2025-08-04T17:39:34.281443,key_3,1.3-A,0.3,10,0.55,128,0.00,False,1,16
2025-08-04T17:39:34.288907,key_1,1.3-A,0.3,10,0.25,0,100.00,True,1,32
2025-08-04T17:39:34.294653,key_1,1.3-A,0.3,10,0.3,0,100.00,True,1,32
2025-08-04T17:39:34.300227,key_1,1.3-A,0.3,10,0.35,0,100.00,True,1,32
2025-08-04T17:39:34.305856,key_1,1.3-A,0.3,10,0.4,0,100.00,True,1,32
2025-08-04T17:39:34.311642,key_1,1.3-A,0.3,10,0.45,0,100.00,True,1,32
2025-08-04T17:39:34.317195,key_1,1.3-A,0.3,10,0.5,60,53.12,False,1,32
2025-08-04T17:39:34.322741,key_1,1.3-A,0.3,10,0.55,60,53.12,False,1,32
2025-08-04T17:39:34.328566,key_2,1.3-A,0.3,10,0.25,0,100.00,True,1,32
2025-08-04T17:39:34.334134,key_2,1.3-A,0.3,10,0.3,0,100.00,True,1,32
2025-08-04T17:39:34.339608,key_2,1.3-A,0.3,10,0.35,0,100.00,True,1,32
2025-08-04T17:39:34.346304,key_2,1.3-A,0.3,10,0.4,67,47.66,False,1,32
2025-08-04T17:39:34.351916,key_2,1.3-A,0.3,10,0.45,29,77.34,False,1,32
2025-08-04T17:39:34.357429,key_2,1.3-A,0.3,10,0.5,61,52.34,False,1,32
2025-08-04T17:39:34.363651,key_2,1.3-A,0.3,10,0.55,67,47.66,False,1,32
2025-08-04T17:39:34.369178,key_3,1.3-A,0.3,10,0.25,0,100.00,True,1,32
2025-08-04T17:39:34.374730,key_3,1.3-A,0.3,10,0.3,0,100.00,True,1,32
2025-08-04T17:39:34.380426,key_3,1.3-A,0.3,10,0.35,0,100.00,True,1,32
2025-08-04T17:39:34.385922,key_3,1.3-A,0.3,10,0.4,0,100.00,True,1,32
2025-08-04T17:39:34.391367,key_3,1.3-A,0.3,10,0.45,0,100.00,True,1,32
2025-08-04T17:39:34.397128,key_3,1.3-A,0.3,10,0.5,67,47.66,False,1,32
2025-08-04T17:39:34.402644,key_3,1.3-A,0.3,10,0.55,60,53.12,False,1,32
2025-08-04T17:39:34.501567,key_1,1.3-A,0.3,10,0.25,0,100.00,True,2,1
2025-08-04T17:39:34.610518,key_1,1.3-A,0.3,10,0.3,0,100.00,True,2,1
2025-08-04T17:39:34.707904,key_1,1.3-A,0.3,10,0.35,0,100.00,True,2,1
2025-08-04T17:39:34.805068,key_1,1.3-A,0.3,10,0.4,0,100.00,True,2,1
2025-08-04T17:39:34.901618,key_1,1.3-A,0.3,10,0.45,0,100.00,True,2,1
2025-08-04T17:39:34.998270,key_1,1.3-A,0.3,10,0.5,68,46.88,False,2,1
2025-08-04T17:39:35.095235,key_1,1.3-A,0.3,10,0.55,128,0.00,False,2,1
2025-08-04T17:39:35.192199,key_2,1.3-A,0.3,10,0.25,0,100.00,True,2,1
2025-08-04T17:39:35.289648,key_2,1.3-A,0.3,10,0.3,0,100.00,True,2,1
2025-08-04T17:39:35.386106,key_2,1.3-A,0.3,10,0.35,0,100.00,True,2,1
2025-08-04T17:39:35.484309,key_2,1.3-A,0.3,10,0.4,0,100.00,True,2,1
2025-08-04T17:39:35.580976,key_2,1.3-A,0.3,10,0.45,67,47.66,False,2,1
2025-08-04T17:39:35.677586,key_2,1.3-A,0.3,10,0.5,68,46.88,False,2,1
2025-08-04T17:39:35.774209,key_2,1.3-A,0.3,10,0.55,128,0.00,False,2,1
2025-08-04T17:39:35.872589,key_3,1.3-A,0.3,10,0.25,0,100.00,True,2,1
2025-08-04T17:39:35.970300,key_3,1.3-A,0.3,10,0.3,0,100.00,True,2,1
2025-08-04T17:39:36.066451,key_3,1.3-A,0.3,10,0.35,0,100.00,True,2,1
2025-08-04T17:39:36.163536,key_3,1.3-A,0.3,10,0.4,67,47.66,False,2,1
2025-08-04T17:39:36.260008,key_3,1.3-A,0.3,10,0.45,0,100.00,True,2,1
2025-08-04T17:39:36.356307,key_3,1.3-A,0.3,10,0.5,73,42.97,False,2,1
2025-08-04T17:39:36.454216,key_3,1.3-A,0.3,10,0.55,67,47.66,False,2,1
2025-08-04T17:39:36.482792,key_1,1.3-A,0.3,10,0.25,0,100.00,True,2,4
2025-08-04T17:39:36.509614,key_1,1.3-A,0.3,10,0.3,0,100.00,True,2,4
2025-08-04T17:39:36.536673,key_1,1.3-A,0.3,10,0.35,0,100.00,True,2,4
2025-08-04T17:39:36.563626,key_1,1.3-A,0.3,10,0.4,0,100.00,True,2,4
2025-08-04T17:39:36.590177,key_1,1.3-A,0.3,10,0.45,58,54.69,False,2,4
2025-08-04T17:39:36.617083,key_1,1.3-A,0.3,10,0.5,70,45.31,False,2,4
2025-08-04T17:39:36.643916,key_1,1.3-A,0.3,10,0.55,61,52.34,False,2,4
2025-08-04T17:39:36.670525,key_2,1.3-A,0.3,10,0.25,1,99.22,False,2,4
2025-08-04T17:39:36.697286,key_2,1.3-A,0.3,10,0.3,1,99.22,False,2,4
2025-08-04T17:39:36.724754,key_2,1.3-A,0.3,10,0.35,1,99.22,False,2,4
2025-08-04T17:39:36.751465,key_2,1.3-A,0.3,10,0.4,1,99.22,False,2,4
2025-08-04T17:39:36.778201,key_2,1.3-A,0.3,10,0.45,58,54.69,False,2,4
2025-08-04T17:39:36.804610,key_2,1.3-A,0.3,10,0.5,71,44.53,False,2,4
2025-08-04T17:39:36.831471,key_2,1.3-A,0.3,10,0.55,70,45.31,False,2,4
2025-08-04T17:39:36.858359,key_3,1.3-A,0.3,10,0.25,1,99.22,False,2,4
2025-08-04T17:39:36.885450,key_3,1.3-A,0.3,10,0.3,1,99.22,False,2,4
2025-08-04T17:39:36.912199,key_3,1.3-A,0.3,10,0.35,32,75.00,False,2,4
2025-08-04T17:39:36.938703,key_3,1.3-A,0.3,10,0.4,1,99.22,False,2,4
2025-08-04T17:39:36.966198,key_3,1.3-A,0.3,10,0.45,66,48.44,False,2,4
2025-08-04T17:39:36.992883,key_3,1.3-A,0.3,10,0.5,62,51.56,False,2,4
